 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   lineMakeCallW                                     0x41c8ae0e       0x0000ae0e      145 (0x91)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineMonitorDigits                                 0x41c8b0f0       0x0000b0f0      146 (0x92)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineMonitorMedia                                  0x41c8b155       0x0000b155      147 (0x93)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineMonitorTones                                  0x41c8b1ba       0x0000b1ba      148 (0x94)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineNegotiateAPIVersion                           0x41c8b239       0x0000b239      149 (0x95)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineNegotiateExtVersion                           0x41c8b2e3       0x0000b2e3      150 (0x96)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineOpen                                          0x41c8b631       0x0000b631      151 (0x97)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineOpenA                                         0x41c8b4d0       0x0000b4d0      152 (0x98)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineOpenW                                         0x41c8b376       0x0000b376      153 (0x99)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   linePark                                          0x41c8b895       0x0000b895      154 (0x9a)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineParkA                                         0x41c8b74d       0x0000b74d      155 (0x9b)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineParkW                                         0x41c8b641       0x0000b641      156 (0x9c)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   linePickup                                        0x41c8ba24       0x0000ba24      157 (0x9d)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   linePickupA                                       0x41c8b9a2       0x0000b9a2      158 (0x9e)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   linePickupW                                       0x41c8b8a5       0x0000b8a5      159 (0x9f)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   linePrepareAddToConference                        0x41c8bbf7       0x0000bbf7      160 (0xa0)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   linePrepareAddToConferenceA                       0x41c8bb13       0x0000bb13      161 (0xa1)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   linePrepareAddToConferenceW                       0x41c8ba34       0x0000ba34      162 (0xa2)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineProxyMessage                                  0x41c8bc07       0x0000bc07      163 (0xa3)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineProxyResponse                                 0x41c8bc89       0x0000bc89      164 (0xa4)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineRedirect                                      0x41c8be37       0x0000be37      165 (0xa5)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineRedirectA                                     0x41c8bdea       0x0000bdea      166 (0xa6)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineRedirectW                                     0x41c8bd86       0x0000bd86      167 (0xa7)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineRegisterRequestRecipient                      0x41c8be44       0x0000be44      168 (0xa8)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineReleaseUserUserInfo                           0x41c8beb4       0x0000beb4      169 (0xa9)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineRemoveFromConference                          0x41c8bf10       0x0000bf10      170 (0xaa)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineRemoveProvider                                0x41c912c9       0x000112c9      171 (0xab)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSecureCall                                    0x41c8bf6c       0x0000bf6c      172 (0xac)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSendUserUserInfo                              0x41c8bfc8       0x0000bfc8      173 (0xad)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAgentActivity                              0x41c8c03d       0x0000c03d      174 (0xae)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAgentGroup                                 0x41c8c0a4       0x0000c0a4      175 (0xaf)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAgentMeasurementPeriod                     0x41c8c113       0x0000c113      176 (0xb0)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAgentSessionState                          0x41c8c17a       0x0000c17a      177 (0xb1)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAgentState                                 0x41c8c1e9       0x0000c1e9      178 (0xb2)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAgentStateEx                               0x41c8c258       0x0000c258      179 (0xb3)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAppPriority                                0x41c8c389       0x0000c389      180 (0xb4)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAppPriorityA                               0x41c8c349       0x0000c349      181 (0xb5)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAppPriorityW                               0x41c8c2c7       0x0000c2c7      182 (0xb6)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetAppSpecific                                0x41c8c396       0x0000c396      183 (0xb7)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetCallData                                   0x41c8c3fb       0x0000c3fb      184 (0xb8)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetCallParams                                 0x41c8c470       0x0000c470      185 (0xb9)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetCallPrivilege                              0x41c8c501       0x0000c501      186 (0xba)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetCallQualityOfService                       0x41c8c566       0x0000c566      187 (0xbb)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetCallTreatment                              0x41c8c5e0       0x0000c5e0      188 (0xbc)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetCurrentLocation                            0x41c9fba7       0x0001fba7      189 (0xbd)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

   lineSetDevConfig                                  0x41c8c70a       0x0000c70a      190 (0xbe)       tapi32.dll          C:\Windows\System32\tapi32.dll            Exported Function

