 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   _adj_fpatan                                       0x75b11db5       0x00031db5      242 (0xf2)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fprem                                        0x75b11a3c       0x00031a3c      243 (0xf3)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fprem1                                       0x75b11cf4       0x00031cf4      244 (0xf4)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adj_fptan                                        0x75b11db8       0x00031db8      245 (0xf5)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _adjust_fdiv                                      0x75b832ec       0x000a32ec      246 (0xf6)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aexit_rtn                                        0x75b80608       0x000a0608      247 (0xf7)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_free                                     0x75b05942       0x00025942      248 (0xf8)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_free_dbg                                 0x75b45aca       0x00065aca      249 (0xf9)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_malloc                                   0x75b1028d       0x0003028d      250 (0xfa)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_malloc_dbg                               0x75b1028d       0x0003028d      251 (0xfb)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_offset_malloc                            0x75b102a9       0x000302a9      252 (0xfc)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_offset_malloc_dbg                        0x75b45a8d       0x00065a8d      253 (0xfd)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_offset_realloc                           0x75b3bfd9       0x0005bfd9      254 (0xfe)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_offset_realloc_dbg                       0x75b45aaa       0x00065aaa      255 (0xff)       msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_realloc                                  0x75b3c163       0x0005c163      256 (0x100)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aligned_realloc_dbg                              0x75b3c163       0x0005c163      257 (0x101)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _alldiv                                           0x77994f80       0x00064f80      1858 (0x742)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _alldvrm                                          0x779abac0       0x0007bac0      1859 (0x743)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _allmul                                           0x77972b20       0x00042b20      1860 (0x744)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _alloca_probe                                     0x7796acc8       0x0003acc8      1861 (0x745)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _alloca_probe_16                                  0x779abba0       0x0007bba0      1862 (0x746)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _alloca_probe_8                                   0x779abbb6       0x0007bbb6      1863 (0x747)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _allrem                                           0x779abc00       0x0007bc00      1864 (0x748)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _allshl                                           0x77962fc0       0x00032fc0      1865 (0x749)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _allshr                                           0x77968820       0x00038820      1866 (0x74a)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _amsg_exit                                        0x75b4b2ef       0x0006b2ef      258 (0x102)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _assert                                           0x75b46163       0x00066163      259 (0x103)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atodbl                                           0x75b312ed       0x000512ed      260 (0x104)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atodbl_l                                         0x75b31240       0x00051240      261 (0x105)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atof_l                                           0x75b00a98       0x00020a98      262 (0x106)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atoflt_l                                         0x75b0193f       0x0002193f      263 (0x107)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atoi64                                           0x77a03b9b       0x000d3b9b      1867 (0x74b)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _atoi64                                           0x75b0f366       0x0002f366      264 (0x108)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atoi64_l                                         0x75b313fe       0x000513fe      265 (0x109)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atoi_l                                           0x75b313f1       0x000513f1      266 (0x10a)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atol_l                                           0x75b313d3       0x000513d3      267 (0x10b)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atoldbl                                          0x75b313b7       0x000513b7      268 (0x10c)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _atoldbl_l                                        0x75b31309       0x00051309      269 (0x10d)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _aulldiv                                          0x7797fe40       0x0004fe40      1868 (0x74c)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _aulldvrm                                         0x7795f720       0x0002f720      1869 (0x74d)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _aullrem                                          0x77970920       0x00040920      1870 (0x74e)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _aullshr                                          0x779686f0       0x000386f0      1871 (0x74f)     ntdll.dll           C:\Windows\SysWOW64\ntdll.dll             Exported Function

   _beep                                             0x75b329c1       0x000529c1      270 (0x10e)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _beginthread                                      0x75b0f553       0x0002f553      271 (0x10f)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _beginthreadex                                    0x75af132e       0x0001132e      272 (0x110)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _c_exit                                           0x75b4b2db       0x0006b2db      273 (0x111)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _cabs                                             0x75b777f8       0x000977f8      274 (0x112)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _callnewh                                         0x75b3bf91       0x0005bf91      275 (0x113)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _calloc_dbg                                       0x75b45a47       0x00065a47      276 (0x114)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _cexit                                            0x75af37d4       0x000137d4      277 (0x115)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

   _cgets                                            0x75b3e451       0x0005e451      278 (0x116)      msvcrt.dll          C:\Windows\syswow64\msvcrt.dll            Exported Function

